season,athlete_display_name,season_bpm_zscore
2010,LeBron James,4.77764940319922
2009,LeBron James,4.5848439936419565
2016,Stephen Curry,4.521612825379543
2013,LeBron James,4.310512224951824
2018,James Harden,4.087269701159161
2019,James Harden,3.8182543413797516
2015,Stephen Curry,3.780996709498085
2014,Kevin Durant,3.7653036835515237
2013,Kevin Durant,3.7530379777925527
2025,Shai Gilgeous-Alexander,3.7074380158982225
2017,Kevin Durant,3.686923323779727
2012,LeBron James,3.653952564682234
2004,Kevin Garnett,3.609078119245166
2020,Giannis Antetokounmpo,3.545678216385512
2018,Stephen Curry,3.543515182432184
2009,Chris Paul,3.51501480506693
2025,Nikola Jokic,3.505323038689213
2011,LeBron James,3.4992772745124316
2024,Joel Embiid,3.425414382342308
2017,Stephen Curry,3.424365564985841
